subsistemas;tokenes
ROLLING;['chassis','bogies','axles','bearings','brakes','suspension','traction','speed control','pantograph','power systems','train aerodynamics','automatic doors','interior and exterior lighting','Train interiors','HVAC system','passenger capacity','vibration and noise control','cabin','vehicle','Carbody','AVLS','coupling and interconnection','doors','loading','energy supply','guidance','information and communication','propulsion','train control','train,windows','capacity','accessibility','motor','on-board','Crashworthiness','wheel','handrail','On-Board Video Surveillance System','OB-VSS','driver','gauge','EMC','Electromagnetic compatibility','noise','passenger confort','acceleration']
PSS;['power supply system','electrical supply','energy distribution','traction power','electricity infrastructure','power grid','substations','power conversion','transformers','rectificiers','inverters','overhead contact line','catenary systems','third rail system','pantograph','traction substations','high-voltage transmission','low-voltage distribution','circuit breakers','switchgear','electrical feeders','power cables','transmission lines','voltage regulation','load balancing','earthing systems','grounding systems','energy storage systems','backup power systems','power surge protection','earthing and bonding','stray current','cables','wiring']
MEP;['MV','Medium voltage','UPS','LVU','Diesel Generator','Water Supply','Plumbing']
COMS;['communications system','wireless communications','radio systems','GSM-R','TETRA,LTE-R','Fiber-optic networks','cmicrowave communications','Communication-Base Train control','Wireless local area network','Data tramission protocols','Public address system','Passanger informatin system','SCADA communications','Train-to-ground communications','onboard communication systems','network routers','switches','VoIP','satallite communications','emergensy communication systems','optical transmmission equipment','signal modulation','demodulation','data encription for communications','Voice over IP','Supervisory Control and Data Acquisition','PIS','PA system','TCP/IP','UDP','WLAN','CBTC','Long-Term Evolution','Terrestrial Trunked Radio','Global system for mobile communications','Wifi','WWRS','Wireband Wireless Radio System','DMRS','Digital Mobile Radio System','CBN','Communication Backbone Network']
SIGNALLING;['signalling system','railway signalling','signals','cab signalling','balises','beacons','track circuits','axle counters','block system','point machines','leves crossing protection','train protection and warning system','automatic train control','automatic train supervision','ATS','communication-Based train control','positive train control,signal aspect','route setting','interlocking logic','signal control centers','signal relays','safeguarding system','vital components','AVLS','signaling','Centralized traffic control','CTC','OCC','SCC','DCC','Railway scheduling system','RSS','onboard signalling','trackside signalling','STC','Signalling and train control']
CYBER;['cybersecurity','information security','cyber defense','operatinal technology security','cyber resilience','firewalls','intrusion detection system','intruction prevention system','network segmentation','encrytption','virtual private networks','secure access control','identify and access management','security information and event management','endpoint security','zero trust architecture','public key enfraestructure','vulnerability assessment','penetratrion testing','pen testing','patch management','threat intelligence','security monitoring','incident response plan','data protection','data privacy','malware detection','cyberattack mitigation','denial of service protection','ISS']
CIVIL;['track foundation','tunnels','bridges','viaducts','culverts','retaining walls','drainage systems','noise barriers','stope stabilization','geotechnical engineering','pile foundations','raiway stations','platforms','station infrastructure','level crossings','structural load analysis','track superstructure','ballast','sleepers','ties','rails','track geometry','subgrade improvement','utilities recolocation','civil design drawings','concrete structures','plans','elevations','cross-sections','reinformced concrete','pre-stressed concrete','poles','TTR','Trackside','Trackside technical room']
TCMS;['Traffic','SIS','SIT','Traffic control management system','TCMS','Traffic light system','TLS','Train detection system','TDS']
OHLE;['Poles','Supra','Trolley','Catenary','OHLE','OCS','TCA','Injection Feeder','Over head line equipment','Over head catenary system']
DEQ;['Depot']
RAMS;['Safety','Reliability','Reliability Availability Maintainability and Safety']
